"","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABBREVIATION","AGE","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","PTS","PLUS_MINUS","NBA_FANTASY_PTS","DD2","TD3","WNBA_FANTASY_PTS","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","FGM_RANK","FGA_RANK","FG_PCT_RANK","FG3M_RANK","FG3A_RANK","FG3_PCT_RANK","FTM_RANK","FTA_RANK","FT_PCT_RANK","OREB_RANK","DREB_RANK","REB_RANK","AST_RANK","TOV_RANK","STL_RANK","BLK_RANK","BLKA_RANK","PF_RANK","PFD_RANK","PTS_RANK","PLUS_MINUS_RANK","NBA_FANTASY_PTS_RANK","DD2_RANK","TD3_RANK","WNBA_FANTASY_PTS_RANK"
"1","1630639","A.J. Lawson","1610612742","DAL","23","2","1","1","0.5","4.675","1","5","0.2","1","3","0.333","0","0","0","0","0","0","0","0","0","0","2","0","0","3","-9","3","0","0","4","376","344","32","191","364","272","243","316","153","187","105","258","266","258","285","334","356","295","246","234","207","323","1","291","291","315","349","205","20","332"
"2","1631260","AJ Green","1610612749","MIL","24","4","2","2","0.5","9.32166666666667","1","3","0.333","1","3","0.333","0","0","0","0","1","1","3","0","0","0","0","0","0","3","11","8.7","0","0","8","332","308","87","191","322","272","280","253","153","187","105","258","266","258","285","290","316","151","246","234","207","1","1","291","291","99","293","205","20","288"
"3","203932","Aaron Gordon","1610612743","DEN","28","37","24","13","0.649","117.441666666667","17","29","0.586","1","6","0.167","15","19","0.789","10","14","24","10","4","3","2","2","11","14","50","65","104.8","8","0","95","10","3","346","87","28","50","75","53","153","141","194","49","42","132","12","43","22","47","71","41","61","323","384","41","55","13","41","39","20","49"
"4","1628988","Aaron Holiday","1610612745","HOU","27","16","5","11","0.313","23.7166666666667","0","4","0","0","3","0","6","7","0.857","1","2","3","1","1","1","0","0","4","5","6","-36","13.1","0","0","12","189","237","303","359","246","327","259","327","213","187","213","117","129","92","187","253","255","228","177","128","207","1","233","131","241","415","269","205","20","268"
"5","1630174","Aaron Nesmith","1610612754","IND","24","27","12","15","0.444","90.6433333333333","10","27","0.37","1","10","0.1","10","13","0.769","5","7","12","2","2","1","3","7","18","12","31","-4","58.4","1","0","54","87","105","382","270","82","99","86","234","153","97","210","76","74","142","63","135","108","184","128","128","30","440","435","49","105","262","119","140","20","124"
"6","1630598","Aaron Wiggins","1610612760","OKC","25","19","10","9","0.526","40.0616666666667","4","8","0.5","1","4","0.25","0","0","0","2","4","6","2","0","0","0","0","2","0","9","-41","19.2","0","0","18","158","143","266","178","189","186","202","91","153","169","160","258","266","258","137","198","191","184","246","234","207","1","153","291","211","417","237","205","20","235"
"7","201143","Al Horford","1610612738","BOS","37","21","15","6","0.714","72.2116666666667","6","14","0.429","4","8","0.5","3","4","0.75","6","10","16","3","2","0","2","0","3","2","19","53","46.7","2","0","46","143","59","201","51","121","162","154","174","78","116","27","167","172","148","42","81","69","151","128","234","61","1","189","197","155","23","150","115","20","145"
"8","202692","Alec Burks","1610612752","NYK","32","18","5","13","0.278","57.1566666666667","6","23","0.261","4","14","0.286","3","3","1","1","3","4","3","0","0","2","1","5","7","19","-50","34.3","0","0","34","165","237","346","371","152","162","111","300","78","72","141","167","207","1","187","223","227","151","246","234","61","245","258","102","155","430","186","205","20","177"
"9","1630197","Aleksej Pokusevski","1610612766","CHA","22","3","1","2","0.333","8.9","1","3","0.333","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","-2","2","0","0","2","346","344","87","335","324","272","280","253","213","214","213","258","266","258","285","334","356","295","246","234","207","1","100","291","300","231","365","205","20","355"
"10","1627936","Alex Caruso","1610612741","CHI","30","34","20","14","0.588","157.925","13","29","0.448","8","18","0.444","11","14","0.786","4","31","35","14","10","13","8","1","22","12","45","80","161","1","0","144","20","19","365","128","4","70","75","155","17","48","56","65","67","134","83","4","11","28","10","1","5","245","442","49","61","7","14","140","20","19"
"11","203458","Alex Len","1610612758","SAC","30","4","1","3","0.25","0.0683333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","0","0","0","332","344","122","374","428","327","368","327","213","309","213","258","266","258","285","334","356","295","246","234","207","1","1","291","339","231","380","205","20","380"
"12","1630578","Alperen Sengun","1610612745","HOU","21","29","13","16","0.448","104.595","32","63","0.508","0","1","0","26","41","0.634","12","12","24","8","8","4","1","8","26","25","90","-7","137.8","13","1","132","60","91","396","266","49","10","15","90","213","257","213","15","6","203","6","58","22","59","19","20","116","442","444","11","16","294","24","20","8","24"
"13","1641708","Amen Thompson","1610612745","HOU","21","14","6","8","0.429","29.6683333333333","5","10","0.5","1","1","1","3","6","0.5","7","9","16","3","0","2","1","2","8","4","14","-3","46.7","6","0","40","209","215","245","290","225","169","186","91","153","257","1","167","140","215","31","96","69","151","246","79","116","323","333","147","182","245","150","53","20","159"
