"","PLAYER_ID","PLAYER_NAME","TEAM_ID","AGE","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","PTS","PLUS_MINUS","NBA_FANTASY_PTS","DD2","TD3","WNBA_FANTASY_PTS","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","FGM_RANK","FGA_RANK","FG_PCT_RANK","FG3M_RANK","FG3A_RANK","FG3_PCT_RANK","FTM_RANK","FTA_RANK","FT_PCT_RANK","OREB_RANK","DREB_RANK","REB_RANK","AST_RANK","TOV_RANK","STL_RANK","BLK_RANK","BLKA_RANK","PF_RANK","PFD_RANK","PTS_RANK","PLUS_MINUS_RANK","NBA_FANTASY_PTS_RANK","DD2_RANK","TD3_RANK","WNBA_FANTASY_PTS_RANK"
"1",1630639,"A.J. Lawson",1610612742,23,2,1,1,0.5,4.675,1,5,0.2,1,3,0.333,0,0,0,0,0,0,0,0,0,0,2,0,0,3,-9,3,0,0,4,347,319,35,199,336,253,222,295,142,172,99,238,246,238,255,312,330,268,223,210,186,318,1,271,269,301,327,190,15,308
"2",1631260,"AJ Green",1610612749,24,1,1,0,1,2.33333333333333,1,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,12,7.5,0,0,7,370,319,1,1,356,253,312,1,142,232,1,238,246,238,255,312,330,132,223,210,186,1,1,271,269,93,282,190,15,273
"3",203932,"Aaron Gordon",1610612743,28,29,18,11,0.621,94.2033333333333,15,27,0.556,1,6,0.167,14,17,0.824,9,13,22,8,3,3,1,2,6,12,45,44,92.4,6,0,84,17,8,318,108,34,46,63,73,142,121,184,43,38,112,10,35,17,44,79,25,92,318,279,40,53,22,40,47,15,49
"4",1628988,"Aaron Holiday",1610612745,27,15,4,11,0.267,23.4666666666667,0,4,0,0,3,0,4,5,0.8,1,2,3,1,1,1,0,0,4,3,4,-37,11.1,0,0,10,165,225,318,343,223,302,236,302,198,172,198,126,139,120,158,228,227,206,152,114,186,1,227,151,249,391,259,190,15,255
"5",1630174,"Aaron Nesmith",1610612754,24,22,12,10,0.545,68.64,8,22,0.364,0,7,0,5,8,0.625,3,7,10,1,1,1,2,5,13,9,21,1,42.5,1,0,38,91,72,301,167,94,105,91,222,198,108,198,114,102,192,78,99,101,206,152,114,45,403,401,59,125,175,134,124,15,142
"6",1630598,"Aaron Wiggins",1610612760,25,15,8,7,0.533,32.0516666666667,4,7,0.571,1,4,0.25,0,0,0,2,4,6,2,0,0,0,0,1,0,9,-21,19.2,0,0,18,165,144,221,184,199,166,191,64,142,154,154,238,246,238,113,166,165,162,223,210,186,1,99,271,192,365,215,190,15,210
"7",201143,"Al Horford",1610612738,37,18,13,5,0.722,62.535,5,12,0.417,3,7,0.429,3,4,0.75,5,8,13,3,2,0,2,0,3,2,16,43,40.1,2,0,39,138,57,173,56,111,152,153,180,77,108,63,144,147,139,42,81,69,132,107,210,45,1,189,177,157,23,146,98,15,137
"8",202692,"Alec Burks",1610612752,32,17,4,13,0.235,56.9733333333333,6,23,0.261,4,14,0.286,3,3,1,1,3,4,3,0,0,2,1,5,7,19,-53,34.3,0,0,34,148,225,363,350,127,138,85,278,59,43,136,144,181,1,158,196,199,132,223,210,45,238,255,84,136,405,165,190,15,159
"9",1627936,"Alex Caruso",1610612741,30,29,16,13,0.552,127.775,12,25,0.48,7,14,0.5,10,12,0.833,3,25,28,7,10,10,6,1,18,10,41,57,123.1,1,0,115,17,23,363,162,4,61,70,138,16,43,26,63,67,104,78,6,11,57,6,1,6,238,413,50,59,12,21,124,15,21
"10",203458,"Alex Len",1610612758,30,3,0,3,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,325,379,122,379,411,302,340,302,198,277,198,238,246,238,255,312,330,268,223,210,186,1,1,271,317,231,357,190,15,357
"11",1630578,"Alperen Sengun",1610612745,21,28,12,16,0.429,103.578333333333,31,62,0.5,0,1,0,26,41,0.634,12,12,24,8,8,4,1,8,26,25,88,-14,135.8,13,1,130,24,72,393,264,21,7,8,97,198,232,198,10,5,191,3,41,13,44,12,8,92,418,418,9,12,335,14,16,7,15
"12",1641708,"Amen Thompson",1610612745,21,11,3,8,0.273,15.9366666666667,2,4,0.5,1,1,1,1,2,0.5,4,4,8,2,0,2,1,1,6,2,6,-14,27.6,4,0,23,219,256,253,340,262,220,236,97,142,232,1,212,200,201,66,166,133,162,223,52,92,238,279,177,226,335,180,63,15,192
"13",1629599,"Amir Coffey",1610612746,26,12,9,3,0.75,17.6583333333333,3,7,0.429,2,4,0.5,6,7,0.857,1,1,2,0,0,0,0,0,1,5,14,33,16.4,0,0,18,206,123,122,49,249,188,191,165,111,154,26,105,118,94,158,269,258,268,223,210,186,1,99,108,163,41,230,190,15,210
